SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Black or African American","89","386","1115","4516","N/A","N/A","N/A","475","5631","6106","1.5","6.3","18.3","74.0","N/A","N/A","N/A","7.80","92.20","2069.2000000000000000","18.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Native Hawaiian or Other Pacific Islander","<3","<3","<3","*","N/A","N/A","N/A","4","8","12","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2079.8000000000000000","31.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","White","1251","2021","2461","3179","N/A","N/A","N/A","3272","5640","8912","14.0","22.7","27.6","35.7","N/A","N/A","N/A","36.70","63.30","2090.2000000000000000","25.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Two or More Races","34","47","73","88","N/A","N/A","N/A","81","161","242","14.0","19.4","30.2","36.4","N/A","N/A","N/A","33.50","66.50","2089.1000000000000000","24.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Hispanic of Any Race","60","165","286","731","N/A","N/A","N/A","225","1017","1242","4.8","13.3","23.0","58.9","N/A","N/A","N/A","18.10","81.90","2077.2000000000000000","22.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","White","1435","3173","3397","906","N/A","N/A","N/A","4608","4303","8911","16.1","35.6","38.1","10.2","N/A","N/A","N/A","51.70","48.30","2102.5000000000000000","25.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Male","955","1373","1846","4194","N/A","N/A","N/A","2328","6040","8368","11.4","16.4","22.1","50.1","N/A","N/A","N/A","27.80","72.20","2082.7000000000000000","26.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Female","648","1425","2243","4554","N/A","N/A","N/A","2073","6797","8870","7.3","16.1","25.3","51.3","N/A","N/A","N/A","23.40","76.60","2081.3000000000000000","23.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","English Learners","6","33","137","1186","N/A","N/A","N/A","39","1323","1362","<=1%","*","10.1","87.1","N/A","N/A","N/A","2.90","97.10","2062.8000000000000000","15.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Not English Learners","1597","2765","3952","7562","N/A","N/A","N/A","4362","11514","15876","10.1","17.4","24.9","47.6","N/A","N/A","N/A","27.50","72.50","2083.7000000000000000","25.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","1785","4633","6969","2313","N/A","N/A","N/A","6418","9282","15700","11.4","29.5","44.4","14.7","N/A","N/A","N/A","40.90","59.10","2096.3000000000000000","25.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","English Learners","9","106","718","527","N/A","N/A","N/A","115","1245","1360","<=1%","*","52.8","38.8","N/A","N/A","N/A","8.50","91.50","2076.0000000000000000","16.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Not English Learners","1813","4696","6989","2405","N/A","N/A","N/A","6509","9394","15903","11.4","29.5","43.9","15.1","N/A","N/A","N/A","40.90","59.10","2096.3000000000000000","25.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Female","694","2419","4344","1442","N/A","N/A","N/A","3113","5786","8899","7.8","27.2","48.8","16.2","N/A","N/A","N/A","35.00","65.00","2092.9000000000000000","23.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Male","1128","2383","3363","1490","N/A","N/A","N/A","3511","4853","8364","13.5","28.5","40.2","17.8","N/A","N/A","N/A","42.00","58.00","2096.5000000000000000","27.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","All Students","1603","2798","4089","8748","N/A","N/A","N/A","4401","12837","17238","9.3","16.2","23.7","50.7","N/A","N/A","N/A","25.50","74.50","2082.0000000000000000","25.2000000000000000","N/A","2008","2161","2062.00","2078.00","2100.00"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","37","169","738","619","N/A","N/A","N/A","206","1357","1563","2.4","10.8","47.2","39.6","N/A","N/A","N/A","13.20","86.80","2077.8000000000000000","19.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Students With Disabilities","30","52","180","1288","N/A","N/A","N/A","82","1468","1550","1.9","3.4","11.6","83.1","N/A","N/A","N/A","5.30","94.70","2063.9000000000000000","18.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","302","1677","4485","2153","N/A","N/A","N/A","1979","6638","8617","3.5","19.5","52.0","25.0","N/A","N/A","N/A","23.00","77.00","2085.3000000000000000","21.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","1520","3125","3222","779","N/A","N/A","N/A","4645","4001","8646","17.6","36.1","37.3","9.0","N/A","N/A","N/A","53.70","46.30","2104.0000000000000000","25.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","266","824","1784","5713","N/A","N/A","N/A","1090","7497","8587","3.1","9.6","20.8","66.5","N/A","N/A","N/A","12.70","87.30","2072.9000000000000000","21.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","1337","1974","2305","3035","N/A","N/A","N/A","3311","5340","8651","15.5","22.8","26.6","35.1","N/A","N/A","N/A","38.30","61.70","2091.0000000000000000","25.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","93","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2059.2000000000000000","16.5000000000000000","N/A","*","*","*","*","*"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","*","33","50","N/A","N/A","N/A","8","83","91","<=5%","*","36.3","54.9","N/A","N/A","N/A","8.80","91.20","2070.9000000000000000","17.1000000000000000","N/A","*","*","*","*","*"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","73","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2057.3000000000000000","15.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","20","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2066.2000000000000000","16.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","71","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2066.1000000000000000","12.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","*","*","<3","N/A","N/A","N/A","6","14","20","<=20%","*","*","<=20%","N/A","N/A","N/A","30.00","70.00","2088.2000000000000000","19.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","White","<3","*","27","40","N/A","N/A","N/A","7","67","74","<=5%","*","36.5","54.1","N/A","N/A","N/A","9.50","90.50","2070.9000000000000000","17.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","*","13","26","N/A","N/A","N/A","4","39","43","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2071.0000000000000000","17.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","*","20","24","N/A","N/A","N/A","4","44","48","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2070.8000000000000000","17.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","45","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2061.0000000000000000","17.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Female","<3","<3","<3","*","N/A","N/A","N/A","<3","*","48","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2057.5000000000000000","15.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Asian","<3","<3","<3","*","N/A","N/A","N/A","<3","*","12","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2057.9000000000000000","16.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Black or African American","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","White","<3","<3","*","*","N/A","N/A","N/A","<3","*","76","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2058.6000000000000000","16.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Asian","<3","<3","<3","*","N/A","N/A","N/A","<3","*","12","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2064.3000000000000000","7.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","*","33","50","N/A","N/A","N/A","8","83","91","<=5%","*","36.3","54.9","N/A","N/A","N/A","8.80","91.20","2070.9000000000000000","17.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","93","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2059.2000000000000000","16.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","*","33","50","N/A","N/A","N/A","8","83","91","<=5%","*","36.3","54.9","N/A","N/A","N/A","8.80","91.20","2070.9000000000000000","17.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","93","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2059.2000000000000000","16.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Male","<3","*","13","26","N/A","N/A","N/A","4","39","43","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2071.0000000000000000","17.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Female","<3","*","20","24","N/A","N/A","N/A","4","44","48","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2070.8000000000000000","17.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","93","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2059.2000000000000000","16.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","93","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2059.2000000000000000","16.5000000000000000","N/A","*","*","*","*","*"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","20","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2066.2000000000000000","16.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","*","33","50","N/A","N/A","N/A","8","83","91","<=5%","*","36.3","54.9","N/A","N/A","N/A","8.80","91.20","2070.9000000000000000","17.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","Female","<3","<3","<3","*","N/A","N/A","N/A","<3","*","48","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2057.5000000000000000","15.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","45","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2061.0000000000000000","17.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","73","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2057.3000000000000000","15.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","Asian","<3","<3","<3","*","N/A","N/A","N/A","<3","*","12","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2057.9000000000000000","16.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","11","Science","Black or African American","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
